Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
eyeshadow-grizzly-b21,Grizzly Eyeshadow,"<p>Cool tone, brown eyeshadow with a matte finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Matte,true,Title,Default Title,,,,,ES13,3,shopify,22,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Grizzly-B21.jpg?v=1485613099,1,Grizzly Eyeshadow,false,,,,,,"Cool tone, brown eyeshadow with a matte finish",,,,,,,,,,,oz,
eyeshadow-extra-foam-b20,Extra Foam Eyeshadow,"<p>Cool tone, cream-colored eyeshadow with a matte finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Matte,true,Title,Default Title,,,,,ES12,3,shopify,34,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Extra_Foam-B20.jpg?v=1485613088,1,Extra Foam Eyeshadow,false,,,,,,"Cool tone, cream-colored eyeshadow with a matte finish",,,,,,,,,,,oz,
eyeshadow-lolli-b12,Lolli Eyeshadow,"<p>Cool tone, light pink eyeshadow with a shimmery finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Shimmery,true,Title,Default Title,,,,,ES11,3,shopify,15,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Lolli-B12.jpg?v=1485613108,1,Lolli Eyeshadow,false,,,,,,"Cool tone, light pink eyeshadow with a shimmery finish",,,,,,,,,,,oz,
eyeshadow-mahogany-b6,Mahogany Eyeshadow,"<p>Warm tone, brown eyeshadow with a shimmery gold finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Shimmery,true,Title,Default Title,,,,,ES10,3,shopify,10,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Mahogany-B6.jpg?v=1485613116,1,Mahogany Eyeshadow,false,,,,,,"Warm tone, brown eyeshadow with a shimmery gold finish",,,,,,,,,,,oz,
eyeshadow-apricot-b5,Apricot Eyeshadow,"<p>Warm tone, apricot eyeshadow with a shimmery gold finish</p>
<p><strong></strong><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<meta charset=""utf-8"">
<p><b>BENEFITS:<span> <span style=""font-weight: 400;"">Skin softening, detoxification, natural sunscreen</span></span></b></p>
<p><span>Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span>Ingredients page</span></a><span> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span>Get FREE standard shipping on all U.S. orders.</span></p>
<p>U.S. Priority Mail (2-3 days): $5</p>
<p><span>Standard Shipping to Canada: $25</span></p>
<p><span>Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span>It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Shimmery,true,Title,Default Title,,,,,ES9,3,shopify,40,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Apricot-B5.jpg?v=1485613046,1,Apricot Eyeshadow,false,,,,,,"Warm tone, apricot eyeshadow with a shimmery gold finish",,,,,,,,,,,oz,
eyeshadow-sherbert-a21,Sherbert Eyeshadow,"<p>Warm tone, peach eyeshadow with a shimmery gold finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Shimmery,true,Title,Default Title,,,,,ES8,3,shopify,45,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Sherbert-A21.jpg?v=1485613164,1,Sherbert Eyeshadow,false,,,,,,"Warm tone, peach eyeshadow with a shimmery gold finish",,,,,,,,,,,oz,
eyeshadow-rawr-a20,Rawr Eyeshadow,"<p>Warm tone, chocolate brown eyeshadow with a shimmery gold finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Shimmery,true,Title,Default Title,,,,,ES7,3,shopify,26,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Rawr-A20.jpg?v=1485613161,1,Rawr Eyeshadow,false,,,,,,"Warm tone, chocolate brown eyeshadow with a shimmery gold finish",,,,,,,,,,,oz,
eyeshadow-monster-a18,Monster Eyeshadow,"<p>Cool tone, purple eyeshadow with a shimmery finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Shimmery,true,Title,Default Title,,,,,ES6,3,shopify,23,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Monster-A18.jpg?v=1485613124,1,Monster Eyeshadow,false,,,,,,"Cool tone, purple eyeshadow with a shimmery finish",,,,,,,,,,,oz,
eyeshadow-flora-a15,Flora Eyeshadow,"<p>Cool tone, rose eyeshadow with a matte finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Matte,true,Title,Default Title,,,,,ES5,3,shopify,16,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Flora-A15.jpg?v=1485613094,1,Flora Eyeshadow,false,,,,,,"Cool tone, rose eyeshadow with a matte finish",,,,,,,,,,,oz,
eyeshadow-crush-a12,Crush Eyeshadow,"<p>Neutral tone, peach eyeshadow with a shimmery finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Shimmery,true,Title,Default Title,,,,,ES4,3,shopify,46,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Crush-A12.jpg?v=1485613074,1,Crush Eyeshadow,false,,,,,,"Neutral tone, peach eyeshadow with a shimmery finish",,,,,,,,,,,oz,
eyeshadow-matcha-a10,Matcha Eyeshadow,"<p>Warm tone, olive green eyeshadow with a shimmery gold finish</p>
<p><span style=""font-weight: 400;"">Finding Ferdinand is about finding the things that make up our best selves. Our pressed eyeshadow powders are highly pigmented and come in matte and shimmery finishes to help you create just the look you want. With only the best ingredients and always a smooth texture, our eyeshadows will help you create gorgeous and worry-free looks.</span></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Net Weight: 0.064 oz</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Diameter: 26.8mm</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Height: 3.9mm</span></li>
</ul>
<p><b>PIGMENTATION:</b><span style=""font-weight: 400;""> High-pigmented powders that blend easily </span></p>
<p><b>TEXTURE:</b><span style=""font-weight: 400;""> Velvety and silky pressed powder</span></p>
<p><b>KEY INGREDIENTS:</b><span style=""font-weight: 400;""> Kaolin and Mica</span></p>
<p><b>BENEFITS:</b><span style=""font-weight: 400;""> Skin softening, detoxification, natural sunscreen</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your products to be handpacked.</span></p>",findingferdinand2,Eyeshadow,Shimmery,true,Title,Default Title,,,,,ES3,3,shopify,10,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Eyeshadow_Matcha-A10.jpg?v=1485613118,1,Matcha Eyeshadow,false,,,,,,"Warm tone, olive green eyeshadow with a shimmery gold finish",,,,,,,,,,,oz,
